UID,Cat,Valence,Activation,Dominance,Cat_Type,speaker,group
Ses01F_impro03_F006,hap,4,3.3333,2.6667,2,1,imp
Ses01F_impro03_F007,xxx,4,3.3333,2.3333,0,1,imp
Ses01F_impro03_F008,hap,4,3.3333,2.3333,2,1,imp
Ses01F_impro03_F009,hap,4,2.6667,2.3333,2,1,imp
Ses01F_impro03_F010,hap,4,3.3333,3,2,1,imp
Ses01F_impro03_F011,xxx,4,3,2.3333,0,1,imp
Ses01F_impro03_F012,hap,4,3.6667,2.6667,2,1,imp
Ses01F_impro03_F013,hap,5,4,3.3333,2,1,imp
Ses01F_impro03_F014,xxx,4,3.3333,2.3333,0,1,imp
Ses01F_impro03_F015,exc,4.6667,3.6667,3,5,1,imp
Ses01F_impro03_F016,hap,4,3,2.3333,2,1,imp
Ses01F_impro03_F017,neu,3.6667,2.6667,2.3333,1,1,imp
Ses01F_impro03_F018,neu,3.6667,3,2,1,1,imp
Ses01F_impro03_F019,neu,3.6667,2.3333,2,1,1,imp
Ses01F_impro03_F020,xxx,3.6667,3,2.3333,0,1,imp
Ses01F_impro03_F021,hap,3.3333,3.6667,2.6667,2,1,imp
Ses01F_impro03_F022,neu,3.3333,2.6667,2,1,1,imp
Ses01F_impro03_F023,neu,3,2.3333,2,1,1,imp
Ses01F_impro03_F024,hap,4.3333,3,2.6667,2,1,imp
Ses01F_impro03_F025,hap,4.3333,3.3333,3.3333,2,1,imp
Ses01F_impro03_F026,hap,4.6667,4,3,2,1,imp
Ses01F_impro03_M000,neu,4,3,2.6667,1,2,imp
Ses01F_impro03_M001,neu,4.3333,2.6667,2.3333,1,2,imp
Ses01F_impro03_M002,sur,4.3333,3.3333,2.6667,6,2,imp
Ses01F_impro03_M003,exc,5,4.6667,3,5,2,imp
Ses01F_impro03_M004,xxx,4.6667,4,2.3333,0,2,imp
Ses01F_impro03_M005,xxx,4,3.3333,2.3333,0,2,imp
Ses01F_impro03_M006,neu,4,2.6667,2.3333,1,2,imp
Ses01F_impro03_M007,hap,4,3,2.3333,2,2,imp
Ses01F_impro03_M008,neu,4,2.6667,2,1,2,imp
Ses01F_impro03_M009,neu,3.6667,2.3333,2.3333,1,2,imp
Ses01F_impro03_M010,xxx,4,3.3333,3,0,2,imp
Ses01F_impro03_M011,neu,3.6667,3.6667,2.6667,1,2,imp
Ses01F_impro03_M012,xxx,4.3333,3.6667,2.6667,0,2,imp
Ses01F_impro03_M013,hap,4.6667,4,3,2,2,imp
Ses01F_impro03_M014,hap,4.3333,3.6667,2.6667,2,2,imp
Ses01F_impro03_M015,hap,4,3,2.6667,2,2,imp
Ses01F_impro03_M016,neu,3.6667,2.6667,2.6667,1,2,imp
Ses01F_impro03_M017,sur,3.6667,3.6667,2.3333,6,2,imp
Ses01F_impro03_M018,sur,3,2.6667,2.6667,6,2,imp
Ses01F_impro03_M019,neu,3,3,2.3333,1,2,imp
Ses01F_impro03_M020,neu,3.3333,3,2.6667,1,2,imp
Ses01F_impro03_M021,neu,3,3.3333,2.6667,1,2,imp
Ses01F_impro03_M022,exc,4,3.3333,2.6667,5,2,imp
Ses01F_impro03_M023,hap,4.6667,4.3333,3.6667,2,2,imp
Ses01F_impro03_M024,neu,3.6667,2.6667,2.3333,1,2,imp
Ses01F_impro04_F000,neu,3,3,3,1,1,imp
Ses01F_impro04_F001,neu,2.5,2.5,3,1,1,imp
Ses01F_impro04_F002,fru,2.5,3.5,3,9,1,imp
Ses01F_impro04_F003,xxx,2.5,3,2.5,0,1,imp
Ses01F_impro04_F004,xxx,2.5,2.5,2,0,1,imp
Ses01F_impro04_F005,neu,3,2,2.5,1,1,imp
Ses01F_impro04_F006,neu,3,3.5,3.5,1,1,imp
Ses01F_impro04_F007,fru,3,3.5,4,9,1,imp
Ses01F_impro04_F008,xxx,2,3.5,3.5,0,1,imp
Ses01F_impro04_F009,neu,2.5,2.5,2.5,1,1,imp
Ses01F_impro04_F010,xxx,2,3.5,3,0,1,imp
Ses01F_impro04_F011,xxx,2.5,3,3,0,1,imp
Ses01F_impro04_F012,xxx,2.5,2.5,4,0,1,imp
Ses01F_impro04_F013,neu,3,3.5,3.5,1,1,imp
Ses01F_impro04_F014,neu,2.5,3,2.5,1,1,imp
Ses01F_impro04_F015,xxx,2,4,3.5,0,1,imp
Ses01F_impro04_F016,fru,2,4,3.5,9,1,imp
Ses01F_impro04_F017,fru,2,4.5,4,9,1,imp
Ses01F_impro04_F018,fru,2,4.5,3.5,9,1,imp
Ses01F_impro04_F019,fru,3,3.5,3,9,1,imp
Ses01F_impro04_F020,xxx,2,3,3.5,0,1,imp
Ses01F_impro04_F021,fru,2,2,3,9,1,imp
Ses01F_impro04_F022,fru,2,2,2.5,9,1,imp
Ses01F_impro04_F023,fru,2,2.5,3,9,1,imp
Ses01F_impro04_F024,fru,2.5,2.5,3.5,9,1,imp
Ses01F_impro04_F025,fru,2.5,2.5,3,9,1,imp
Ses01F_impro04_F026,fru,2.5,2,3.5,9,1,imp
Ses01F_impro04_F027,fru,2.5,2,3,9,1,imp
Ses01F_impro04_F028,ang,2,3.5,3.5,3,1,imp
Ses01F_impro04_F029,ang,1.5,4,4,3,1,imp
Ses01F_impro04_F030,ang,1.5,3.5,4,3,1,imp
Ses01F_impro04_F031,ang,1.5,3,3.5,3,1,imp
Ses01F_impro04_F032,ang,2,3.5,3.5,3,1,imp
Ses01F_impro04_F033,ang,1.5,3.5,4.5,3,1,imp
Ses01F_impro04_M000,neu,3,2.5,2.5,1,2,imp
Ses01F_impro04_M001,neu,3,2.5,2,1,2,imp
Ses01F_impro04_M002,neu,3,2.5,3,1,2,imp
Ses01F_impro04_M003,neu,3,2.5,2.5,1,2,imp
Ses01F_impro04_M004,neu,3,3,3,1,2,imp
Ses01F_impro04_M005,neu,3,3,3,1,2,imp
Ses01F_impro04_M006,neu,3,3.5,2.5,1,2,imp
Ses01F_impro04_M007,neu,3.5,3,2.5,1,2,imp
Ses01F_impro04_M008,neu,3,3,2.5,1,2,imp
Ses01F_impro04_M009,neu,3,3,3,1,2,imp
Ses01F_impro04_M010,neu,3,2.5,2,1,2,imp
Ses01F_impro04_M011,neu,3,3,2.5,1,2,imp
Ses01F_impro04_M012,neu,3,3,2.5,1,2,imp
Ses01F_impro04_M013,neu,3,2,3,1,2,imp
Ses01F_impro04_M014,neu,3.5,3.5,3.5,1,2,imp
Ses01F_impro04_M015,neu,2.5,3.5,3,1,2,imp
Ses01F_impro04_M016,neu,3,2.5,2.5,1,2,imp
Ses01F_impro04_M017,neu,3,3.5,3,1,2,imp
Ses01F_impro04_M018,neu,3,3.5,3,1,2,imp
Ses01F_impro04_M019,neu,3,2.5,2.5,1,2,imp
Ses01F_impro04_M020,neu,3,2.5,2.5,1,2,imp
Ses01F_impro04_M021,neu,3.5,3.5,3,1,2,imp
Ses01F_impro04_M022,neu,3,2.5,2.5,1,2,imp
Ses01F_impro04_M023,neu,2.5,2.5,2,1,2,imp
Ses01F_impro04_M024,neu,3,2.5,3,1,2,imp
Ses01F_impro04_M025,neu,3,3.5,3.5,1,2,imp
Ses01F_impro04_M026,neu,3.5,3,3,1,2,imp
Ses01F_impro04_M027,neu,3.5,3.5,3.5,1,2,imp
Ses01F_impro04_M028,neu,3,2.5,2,1,2,imp
Ses01F_impro04_M029,fru,2.5,3.5,3.5,9,2,imp
Ses01F_impro04_M030,fru,2.5,2.5,3,9,2,imp
Ses01F_impro04_M031,neu,3,2.5,2.5,1,2,imp
Ses01F_impro04_M032,neu,2.5,2,1.5,1,2,imp
Ses01F_impro04_M033,xxx,2.5,3.5,2,0,2,imp
Ses01F_impro04_M034,fru,2.5,2,2,9,2,imp
Ses01F_impro04_M035,fru,2,3.5,3,9,2,imp
Ses01F_impro04_M036,xxx,2.5,3,3.5,0,2,imp
Ses01F_impro05_F000,fru,4,2,1.5,9,1,imp
Ses01F_impro05_F001,fru,2,2.5,2.5,9,1,imp
Ses01F_impro05_F002,fru,2.5,2.5,3.5,9,1,imp
Ses01F_impro05_F003,fru,2,3,3.5,9,1,imp
Ses01F_impro05_F004,fru,2,3.5,3.5,9,1,imp
Ses01F_impro05_F005,fru,2.5,3,3,9,1,imp
Ses01F_impro05_F006,xxx,2.5,2.5,2.5,0,1,imp
Ses01F_impro05_F007,fru,2.5,3,3.5,9,1,imp
Ses01F_impro05_F008,ang,2.5,2.5,3.5,3,1,imp
Ses01F_impro05_F009,ang,2.5,2.5,3.5,3,1,imp
Ses01F_impro05_F010,xxx,2,4,3.5,0,1,imp
Ses01F_impro05_F011,ang,2,4.5,3.5,3,1,imp
Ses01F_impro05_F012,ang,2.5,3.5,3,3,1,imp
Ses01F_impro05_F013,xxx,2,2.5,3,0,1,imp
Ses01F_impro05_F014,ang,1.5,4,4,3,1,imp
Ses01F_impro05_F015,ang,1.5,4.5,4.5,3,1,imp
Ses01F_impro05_F016,ang,1.5,4.5,4,3,1,imp
Ses01F_impro05_F017,ang,1.5,5,4.5,3,1,imp
Ses01F_impro05_F018,ang,1.5,4,4,3,1,imp
Ses01F_impro05_F019,ang,1.5,4,4.5,3,1,imp
Ses01F_impro05_F020,ang,1.5,4.5,4.5,3,1,imp
Ses01F_impro05_F021,ang,1.5,4.5,4.5,3,1,imp
Ses01F_impro05_F022,ang,1.5,4.5,4,3,1,imp
Ses01F_impro05_F023,ang,2,3,4,3,1,imp
Ses01F_impro05_F024,ang,2,3,4,3,1,imp
Ses01F_impro05_F025,ang,1.5,4.5,4.5,3,1,imp
Ses01F_impro05_F026,ang,2,3.5,3.5,3,1,imp
Ses01F_impro05_F027,xxx,2,2.5,4,0,1,imp
Ses01F_impro05_F028,ang,2,3,4,3,1,imp
Ses01F_impro05_F029,ang,1.5,3,3.5,3,1,imp
Ses01F_impro05_F030,ang,2,3,3.5,3,1,imp
Ses01F_impro05_M000,neu,4,2.5,2,1,2,imp
Ses01F_impro05_M001,hap,4,2.5,2,2,2,imp
Ses01F_impro05_M002,hap,4,2.5,2,2,2,imp
Ses01F_impro05_M003,neu,4,2.5,2,1,2,imp
Ses01F_impro05_M004,neu,3.5,1.5,2,1,2,imp
Ses01F_impro05_M005,neu,3.5,2.5,2,1,2,imp
Ses01F_impro05_M006,neu,3.5,2.5,2,1,2,imp
Ses01F_impro05_M007,neu,3.5,2.5,2,1,2,imp
Ses01F_impro05_M008,neu,3,2.5,2,1,2,imp
Ses01F_impro05_M009,neu,2.5,2.5,2,1,2,imp
Ses01F_impro05_M010,neu,2.5,2.5,2,1,2,imp
Ses01F_impro05_M011,neu,2.5,2.5,2,1,2,imp
Ses01F_impro05_M012,neu,2.5,2,1.5,1,2,imp
Ses01F_impro05_M013,neu,2.5,2,1.5,1,2,imp
Ses01F_impro05_M014,neu,2.5,2.5,1.5,1,2,imp
Ses01F_impro05_M015,neu,2.5,2,1.5,1,2,imp
Ses01F_impro05_M016,neu,2.5,2.5,2,1,2,imp
Ses01F_impro05_M017,neu,2.5,2.5,2.5,1,2,imp
Ses01F_impro05_M018,xxx,3,3.5,2.5,0,2,imp
Ses01F_impro05_M019,neu,2.5,2,2,1,2,imp
Ses01F_impro05_M020,neu,2.5,2,2,1,2,imp
Ses01F_impro05_M021,xxx,2.5,2.5,1.5,0,2,imp
Ses01F_impro05_M022,neu,2.5,2,2,1,2,imp
Ses01F_impro05_M023,neu,2.5,3.5,2.5,1,2,imp
Ses01F_impro05_M024,neu,2.5,3,2.5,1,2,imp
Ses01F_impro05_M025,neu,2.5,2.5,2,1,2,imp
Ses01F_impro05_M026,neu,2.5,2.5,2.5,1,2,imp
Ses01F_impro05_M027,neu,2.5,2.5,2,1,2,imp
Ses01F_impro05_M028,neu,2.5,2.5,2,1,2,imp
Ses01F_impro05_M029,neu,2.5,2.5,2.5,1,2,imp
Ses01F_impro05_M030,neu,3,2.5,2,1,2,imp
Ses01F_impro05_M031,neu,3,2.5,2.5,1,2,imp
Ses01F_impro05_M032,sur,3,2.5,2,6,2,imp
Ses01F_impro05_M033,sur,2.5,3,2,6,2,imp
Ses01F_impro05_M034,neu,2.5,2.5,2.5,1,2,imp
Ses01F_impro05_M035,neu,2.5,2,1.5,1,2,imp
Ses01F_impro06_F000,xxx,3.5,2,3,0,1,imp
Ses01F_impro06_F001,xxx,2,2,2,0,1,imp
Ses01F_impro06_F002,sad,2,1.5,2.5,4,1,imp
Ses01F_impro06_F003,neu,3,2,2.5,1,1,imp
Ses01F_impro06_F004,neu,3.5,2,3,1,1,imp
Ses01F_impro06_F005,sad,2,2,4,4,1,imp
Ses01F_impro06_F006,sad,3.5,3,4,4,1,imp
Ses01F_impro06_F007,sad,3.5,3,4,4,1,imp
Ses01F_impro06_F008,sad,2.5,3.5,3.5,4,1,imp
Ses01F_impro06_F009,neu,2.5,3,3.5,1,1,imp
Ses01F_impro06_F010,sad,2,2.5,3.5,4,1,imp
Ses01F_impro06_F011,sad,2,3,4,4,1,imp
Ses01F_impro06_F012,sad,2,3.5,4.5,4,1,imp
Ses01F_impro06_F013,sad,2,2,2,4,1,imp
Ses01F_impro06_F014,sad,3,3,2.5,4,1,imp
Ses01F_impro06_F015,sad,2,2,2.5,4,1,imp
Ses01F_impro06_F016,neu,4,3,3.5,1,1,imp
Ses01F_impro06_F017,xxx,4,3,3.5,0,1,imp
Ses01F_impro06_F018,neu,4,3,3.5,1,1,imp
Ses01F_impro06_F019,neu,2.5,2,2.5,1,1,imp
Ses01F_impro06_F020,sad,2.5,3,4,4,1,imp
Ses01F_impro06_F021,sad,2,3,4,4,1,imp
Ses01F_impro06_F022,sad,4,3,3.5,4,1,imp
Ses01F_impro06_F023,sad,2.5,2,2.5,4,1,imp
Ses01F_impro06_F024,sad,1.5,2,3,4,1,imp
Ses01F_impro06_F025,sad,3,3.5,4.5,4,1,imp
Ses01F_impro06_F026,sad,3,3,3.5,4,1,imp
Ses01F_impro06_F027,neu,2,2,3.5,1,1,imp
Ses01F_impro06_F028,sad,3,3.5,4,4,1,imp
Ses01F_impro06_M000,sad,2.5,2,3,4,2,imp
Ses01F_impro06_M001,neu,2.5,3,3.5,1,2,imp
Ses01F_impro06_M002,neu,2.5,2,3,1,2,imp
Ses01F_impro06_M003,sad,2.5,2,3.5,4,2,imp
Ses01F_impro06_M004,neu,3,3,2.5,1,2,imp
Ses01F_impro06_M005,neu,3,2,2.5,1,2,imp
Ses01F_impro06_M006,neu,3,2,2.5,1,2,imp
Ses01F_impro06_M007,sad,3,2,2.5,4,2,imp
Ses01F_impro06_M008,neu,3,2.5,2.5,1,2,imp
Ses01F_impro06_M009,neu,3,2.5,2.5,1,2,imp
Ses01F_impro06_M010,neu,3,2.5,3,1,2,imp
Ses01F_impro06_M011,neu,3,2,3,1,2,imp
Ses01F_impro06_M012,neu,2.5,2.5,2.5,1,2,imp
Ses01F_impro06_M013,neu,3,2.5,2.5,1,2,imp
Ses01F_impro06_M014,neu,3,2.5,2,1,2,imp
Ses01F_impro06_M015,neu,3,3,2.5,1,2,imp
Ses01F_impro06_M016,neu,3,2.5,2.5,1,2,imp
Ses01F_impro06_M017,xxx,4,3,2.5,0,2,imp
Ses01F_impro07_F000,exc,5,5,4.5,5,1,imp
Ses01F_impro07_F001,xxx,4,4.5,3.5,0,1,imp
Ses01F_impro07_F002,exc,4,4,3,5,1,imp
Ses01F_impro07_F003,exc,4.5,4.5,4.5,5,1,imp
Ses01F_impro07_F004,exc,3,3.5,3,5,1,imp
Ses01F_impro07_F005,exc,5,4.5,4.5,5,1,imp
Ses01F_impro07_F006,xxx,4.5,4,3.5,0,1,imp
Ses01F_impro07_F007,xxx,4,4,3.5,0,1,imp
Ses01F_impro07_F008,xxx,4,3,3,0,1,imp
Ses01F_impro07_F009,exc,4,3,2.5,5,1,imp
Ses01F_impro07_F010,exc,5,4.5,4,5,1,imp
Ses01F_impro07_F011,xxx,4,3.5,3,0,1,imp
Ses01F_impro07_F012,exc,4.5,4,3.5,5,1,imp
Ses01F_impro07_F013,exc,4.5,4,4,5,1,imp
Ses01F_impro07_F014,xxx,4,3.5,3.5,0,1,imp
Ses01F_impro07_F015,xxx,4.5,4,3,0,1,imp
Ses01F_impro07_F016,exc,4.5,3.5,3,5,1,imp
Ses01F_impro07_M000,exc,3.5,3,2,5,2,imp
Ses01F_impro07_M001,exc,4.5,4.5,4,5,2,imp
Ses01F_impro07_M002,exc,4.5,4,4,5,2,imp
Ses01F_impro07_M003,exc,4.5,3.5,2.5,5,2,imp
Ses01F_impro07_M004,exc,4,4,3,5,2,imp
Ses01F_impro07_M005,exc,4.5,4.5,3.5,5,2,imp
Ses01F_impro07_M006,exc,4.5,4.5,3.5,5,2,imp
Ses01F_impro07_M007,exc,4.5,4.5,4.5,5,2,imp
Ses01F_impro07_M008,exc,4,3,3,5,2,imp
Ses01F_impro07_M009,exc,3.5,4,3.5,5,2,imp
Ses01F_impro07_M010,xxx,3.5,3.5,2.5,0,2,imp
Ses01F_impro07_M011,xxx,3,2.5,2.5,0,2,imp
Ses01F_impro07_M012,neu,3,2.5,3,1,2,imp
Ses01F_impro07_M013,neu,4,2.5,2.5,1,2,imp
Ses01F_impro07_M014,exc,4,4.5,3,5,2,imp
Ses01F_impro07_M015,exc,4.5,4,3.5,5,2,imp
Ses01F_impro07_M016,xxx,4.5,4,3,0,2,imp
Ses01F_impro07_M017,exc,4,3.5,2.5,5,2,imp
Ses01F_impro07_M018,neu,4,3,3,1,2,imp
Ses01F_impro07_M019,hap,4.5,4,3,2,2,imp
Ses01F_script01_1_F000,fru,2,2.3333,2.3333,9,1,scr
Ses01F_script01_1_F001,xxx,2,2.3333,1.6667,0,1,scr
Ses01F_script01_1_F002,sur,2.3333,2.3333,2.6667,6,1,scr
Ses01F_script01_1_F003,xxx,3,3,2.6667,0,1,scr
Ses01F_script01_1_F004,xxx,2,2,2,0,1,scr
Ses01F_script01_1_F005,neu,2,1.6667,2,1,1,scr
Ses01F_script01_1_F006,xxx,1.6667,2.3333,3.3333,0,1,scr
Ses01F_script01_1_F007,xxx,2.6667,3.6667,3.6667,0,1,scr
Ses01F_script01_1_F008,xxx,2,2.3333,2.6667,0,1,scr
Ses01F_script01_1_F009,fru,2.6667,2.6667,3.6667,9,1,scr
Ses01F_script01_1_F010,fru,2.6667,2.6667,3,9,1,scr
Ses01F_script01_1_F011,fru,2.3333,3.3333,3.6667,9,1,scr
Ses01F_script01_1_F012,fru,2.3333,3,4,9,1,scr
Ses01F_script01_1_F013,xxx,2.3333,4.3333,3.6667,0,1,scr
Ses01F_script01_1_F014,fru,2.6667,1.6667,2.3333,9,1,scr
Ses01F_script01_1_F015,neu,3,2.3333,3,1,1,scr
Ses01F_script01_1_F016,xxx,2.6667,2.6667,3,0,1,scr
Ses01F_script01_1_F017,xxx,2,3,3.6667,0,1,scr
Ses01F_script01_1_F018,xxx,2.6667,2.6667,2.3333,0,1,scr
Ses01F_script01_1_F019,xxx,3,2.6667,2.3333,0,1,scr
Ses01F_script01_1_F020,xxx,2.3333,4,4.3333,0,1,scr
Ses01F_script01_1_F021,fru,2.3333,4,4,9,1,scr
Ses01F_script01_1_F022,fru,2.3333,3.3333,2.3333,9,1,scr
Ses01F_script01_1_F023,fru,3.3333,2.6667,2.3333,9,1,scr
Ses01F_script01_1_F024,fru,2.6667,2.6667,2.6667,9,1,scr
Ses01F_script01_1_F025,fru,2.6667,3.3333,3.6667,9,1,scr
Ses01F_script01_1_F026,fru,2.6667,2.6667,3,9,1,scr
Ses01F_script01_1_F027,fru,2.3333,2.3333,2.3333,9,1,scr
Ses01F_script01_1_F028,fru,2.3333,2,2.3333,9,1,scr
Ses01F_script01_1_F029,fru,2.3333,3.6667,3.6667,9,1,scr
Ses01F_script01_1_F030,fru,2.6667,2,1.6667,9,1,scr
Ses01F_script01_1_F031,fru,2.3333,2.3333,1.6667,9,1,scr
Ses01F_script01_1_F032,fru,2,2,2.6667,9,1,scr
Ses01F_script01_1_F033,fru,2.6667,2.6667,3.3333,9,1,scr
Ses01F_script01_1_F034,neu,2.3333,2.6667,2.3333,1,1,scr
Ses01F_script01_1_F035,ang,1.6667,3.6667,4,3,1,scr
Ses01F_script01_1_F036,xxx,3,4,3.6667,0,1,scr
Ses01F_script01_1_F037,ang,1.3333,4.3333,4.3333,3,1,scr
Ses01F_script01_1_F038,ang,2,3.6667,3.6667,3,1,scr
Ses01F_script01_1_F039,fru,2.3333,3,3.6667,9,1,scr
Ses01F_script01_1_F040,fru,2.3333,2.6667,4,9,1,scr
Ses01F_script01_1_F041,ang,1.6667,4.6667,4.3333,3,1,scr
Ses01F_script01_1_F042,ang,2,4,3.6667,3,1,scr
Ses01F_script01_1_F043,fru,2.3333,2.3333,2,9,1,scr
Ses01F_script01_1_F044,fru,2.3333,1.3333,1.3333,9,1,scr
Ses01F_script01_1_M000,neu,3,1.6667,2.3333,1,2,scr
Ses01F_script01_1_M001,neu,3,2,2.3333,1,2,scr
Ses01F_script01_1_M002,neu,2.6667,3,2.3333,1,2,scr
Ses01F_script01_1_M003,neu,3,2,2,1,2,scr
Ses01F_script01_1_M004,neu,3,2,2,1,2,scr
Ses01F_script01_1_M005,fru,2.6667,2.6667,2.3333,9,2,scr
Ses01F_script01_1_M006,xxx,2.6667,2.6667,2.6667,0,2,scr
Ses01F_script01_1_M007,neu,2.6667,3,3,1,2,scr
Ses01F_script01_1_M008,fru,2.3333,2.6667,3,9,2,scr
Ses01F_script01_1_M009,fru,2.3333,3.6667,3.6667,9,2,scr
Ses01F_script01_1_M010,neu,3,3.3333,3.6667,1,2,scr
Ses01F_script01_1_M011,fru,2.3333,2.3333,3.3333,9,2,scr
Ses01F_script01_1_M012,neu,3,1.3333,2,1,2,scr
Ses01F_script01_1_M013,fru,3,2.3333,2.3333,9,2,scr
Ses01F_script01_1_M014,neu,3,1.6667,2.3333,1,2,scr
Ses01F_script01_1_M015,neu,3,1.6667,2.6667,1,2,scr
Ses01F_script01_1_M016,neu,3.6667,2.6667,2.3333,1,2,scr
Ses01F_script01_1_M017,neu,3,2.6667,2.6667,1,2,scr
Ses01F_script01_1_M018,fru,3,3.3333,3.6667,9,2,scr
Ses01F_script01_1_M019,ang,2,4.3333,4,3,2,scr
Ses01F_script01_1_M020,fru,2.6667,4,3.6667,9,2,scr
Ses01F_script01_1_M021,fru,2,3,2.3333,9,2,scr
Ses01F_script01_1_M022,fru,2,3.3333,3.3333,9,2,scr
Ses01F_script01_1_M023,neu,3,2,2.3333,1,2,scr
Ses01F_script01_1_M024,neu,2.6667,1.6667,2,1,2,scr
Ses01F_script01_1_M025,neu,2.6667,2,3,1,2,scr
Ses01F_script01_1_M026,fru,2,3.3333,3,9,2,scr
Ses01F_script01_1_M027,fru,3,2.6667,2.6667,9,2,scr
Ses01F_script01_1_M028,fru,2,3,1.6667,9,2,scr
Ses01F_script01_1_M029,fru,2.6667,3,3.3333,9,2,scr
