,id,emotion_v,emotion_a,emotion_d,label,Cat_L1,Cat_L2,Cat_L3,Cat_Spk,Dim_L1_val,Dim_L1_act,Dim_L1_dim,Dim_L2_val,Dim_L2_act,Dim_L2_dim,Dim_Spk_val,Dim_Spk_act,Dim_Spk_dim
18,Ses04M_script02_1_F018,2.5,3.5,3.5,ang,Anger,Anger,Anger,-1,3,3,3,2,4,4,-1,-1,-1
19,Ses04M_script02_1_F019,2.0,3.0,3.0,fru,Frustration,Anger,Frustration,-1,2,3,2,2,3,4,-1,-1,-1
20,Ses04M_script02_1_F020,2.5,2.5,2.5,fru,Sadness,Anger,Frustration,-1,3,2,2,2,3,3,-1,-1,-1
21,Ses04M_script02_1_F021,2.0,3.0,2.5,fru,Frustration,Anger,Frustration,-1,2,2,1,2,4,4,-1,-1,-1
22,Ses04M_script02_1_M000,4.0,2.5,2.5,xxx,Frustration,Excited,Happiness,-1,4,2,2,4,3,3,-1,-1,-1
23,Ses04M_script02_1_M001,3.5,2.5,2.5,exc,Excited,Excited,Neutral,-1,3,2,2,4,3,3,-1,-1,-1
24,Ses04M_script02_1_M002,4.0,4.0,2.5,exc,Excited,Excited,Neutral,-1,4,3,2,4,5,3,-1,-1,-1
25,Ses04M_script02_1_M003,3.0,3.0,2.5,exc,Excited,Excited,Other,-1,4,3,2,2,3,3,-1,-1,-1
26,Ses04M_script02_1_M004,2.5,3.0,3.0,xxx,Excited,Neutral,Frustration,-1,3,2,2,2,4,4,-1,-1,-1
27,Ses04M_script02_1_M005,2.5,2.0,2.0,neu,Frustration,Neutral,Neutral,-1,3,2,1,2,2,3,-1,-1,-1
28,Ses04M_script02_1_M006,2.5,2.5,2.0,fru,Frustration,Neutral,Frustration,-1,3,2,1,2,3,3,-1,-1,-1
29,Ses04M_script02_1_M007,2.5,3.5,2.5,xxx,Excited,Neutral,Other,-1,3,3,2,2,4,3,-1,-1,-1
30,Ses04M_script02_1_M008,3.5,2.5,2.0,exc,Excited,Neutral,Excited,-1,3,2,1,4,3,3,-1,-1,-1
31,Ses04M_script02_1_M009,3.0,2.5,2.5,neu,Frustration,Neutral,Other,-1,3,2,2,3,3,3,-1,-1,-1
32,Ses04M_script02_1_M010,4.0,2.5,2.5,xxx,Frustration,Happiness,Neutral,-1,4,2,2,4,3,3,-1,-1,-1
33,Ses04M_script02_1_M011,3.5,2.5,2.0,xxx,Frustration,Happiness,Excited,-1,3,2,1,4,3,3,-1,-1,-1
34,Ses04M_script02_1_M012,3.0,2.5,2.0,neu,Excited,Neutral,Neutral,-1,3,2,1,3,3,3,-1,-1,-1
35,Ses04M_script02_1_M013,2.0,3.5,2.5,fru,Frustration,Surprise,Frustration,-1,2,3,2,2,4,3,-1,-1,-1
36,Ses04M_script02_1_M014,3.0,3.0,2.5,neu,Frustration,Neutral,Neutral,-1,3,3,2,3,3,3,-1,-1,-1
37,Ses04M_script02_1_M015,2.5,2.5,2.0,neu,Frustration,Neutral,Neutral,-1,3,2,1,2,3,3,-1,-1,-1
38,Ses04M_script02_1_M016,2.5,3.0,2.5,fru,Frustration,Neutral,Frustration,-1,3,3,2,2,3,3,-1,-1,-1
39,Ses04M_script02_1_M017,2.5,2.0,1.5,xxx,Frustration,Surprise,Neutral,-1,3,2,1,2,2,2,-1,-1,-1
40,Ses04M_script02_1_M018,2.5,3.5,2.5,exc,Frustration,Excited,Excited,-1,3,3,2,2,4,3,-1,-1,-1
41,Ses04M_script02_1_M019,3.0,3.0,2.5,fru,Frustration,Excited,Frustration,-1,3,3,2,3,3,3,-1,-1,-1
42,Ses04M_script02_1_M020,3.0,2.5,2.5,exc,Excited,Excited,Neutral,-1,3,2,2,3,3,3,-1,-1,-1
43,Ses04M_script02_1_M021,3.5,2.5,2.5,exc,Excited,Excited,Excited,-1,4,2,2,3,3,3,-1,-1,-1
44,Ses04M_script02_1_M022,3.0,3.0,2.5,exc,Frustration,Excited,Excited,-1,3,2,2,3,4,3,-1,-1,-1
45,Ses04M_script02_1_M023,2.5,3.0,2.5,exc,Excited,Excited,Excited,-1,3,3,2,2,3,3,-1,-1,-1
46,Ses04M_script02_1_M024,2.5,3.0,2.0,sur,Frustration,Surprise,Surprise,-1,2,2,1,3,4,3,-1,-1,-1
47,Ses04M_script02_1_M025,3.0,3.0,2.5,xxx,Frustration,Neutral,Surprise,-1,3,3,2,3,3,3,-1,-1,-1
48,Ses04M_script02_1_M026,2.5,2.0,3.0,xxx,Excited,Neutral,Frustration,-1,3,2,2,2,2,4,-1,-1,-1
49,Ses04M_script02_1_M027,2.0,3.5,3.0,xxx,Excited,Neutral,Frustration,-1,2,3,3,2,4,3,-1,-1,-1
50,Ses04M_script02_1_M028,3.5,3.0,2.5,exc,Excited,Excited,Excited,-1,3,2,2,4,4,3,-1,-1,-1
51,Ses04M_script02_1_M029,3.0,3.0,2.5,exc,Excited,Excited,Neutral,-1,3,2,2,3,4,3,-1,-1,-1
52,Ses04M_script02_1_M030,3.0,3.0,2.5,exc,Excited,Excited,Excited,-1,3,3,2,3,3,3,-1,-1,-1
53,Ses04M_script02_1_M031,3.5,3.5,2.5,exc,Excited,Excited,Excited,-1,3,3,2,4,4,3,-1,-1,-1
54,Ses04M_script02_1_M032,3.5,4.0,2.5,exc,Excited,Excited,Excited,-1,4,3,2,3,5,3,-1,-1,-1
55,Ses04M_script02_1_M033,3.0,2.5,1.5,exc,Excited,Neutral,Excited,-1,3,2,1,3,3,2,-1,-1,-1
56,Ses04M_impro06_F000,3.0,2.0,1.5,sad,Sadness,Sadness,Sadness,-1,3,2,2,3,2,1,-1,-1,-1
57,Ses04M_impro06_F001,2.5,2.0,1.5,sad,Sadness,Sadness,Sadness,-1,3,2,2,2,2,1,-1,-1,-1
58,Ses04M_impro06_F002,2.0,2.0,2.0,sad,Sadness,Sadness,Sadness,-1,2,2,3,2,2,1,-1,-1,-1
59,Ses04M_impro06_F003,2.5,2.0,2.5,sad,Sadness,Sadness,Sadness,-1,3,2,3,2,2,2,-1,-1,-1
60,Ses04M_impro06_F004,3.0,3.0,3.0,sad,Sadness,Sadness,Neutral,-1,3,3,4,3,3,2,-1,-1,-1
61,Ses04M_impro06_F005,3.0,2.5,2.0,sad,Sadness,Sadness,Neutral,-1,3,2,3,3,3,1,-1,-1,-1
62,Ses04M_impro06_F006,2.0,2.5,2.5,sad,Sadness,Sadness,Sadness,-1,2,2,3,2,3,2,-1,-1,-1
63,Ses04M_impro06_F007,2.0,2.0,2.0,sad,Sadness,Sadness,Sadness,-1,2,2,3,2,2,1,-1,-1,-1
64,Ses04M_impro06_F008,2.0,3.0,3.0,sad,Sadness,Sadness,Sadness,-1,2,3,4,2,3,2,-1,-1,-1
65,Ses04M_impro06_F009,2.0,3.0,2.5,sad,Sadness,Sadness,Neutral,-1,2,3,4,2,3,1,-1,-1,-1
66,Ses04M_impro06_F010,2.5,2.5,3.0,sad,Sadness,Sadness,Other,-1,2,3,4,3,2,2,-1,-1,-1
67,Ses04M_impro06_F011,3.0,2.5,3.0,sad,Sadness,Sadness,Frustration,-1,3,2,4,3,3,2,-1,-1,-1
68,Ses04M_impro06_F012,2.5,3.5,3.5,sad,Sadness,Sadness,Other,-1,2,4,4,3,3,3,-1,-1,-1
69,Ses04M_impro06_F013,3.0,2.0,2.0,xxx,Sadness,Neutral,Surprise,-1,3,2,3,3,2,1,-1,-1,-1
70,Ses04M_impro06_F014,3.0,2.5,2.5,sad,Sadness,Sadness,Frustration,-1,3,2,3,3,3,2,-1,-1,-1
71,Ses04M_impro06_F015,3.0,2.5,2.5,sad,Sadness,Sadness,Neutral,-1,3,2,3,3,3,2,-1,-1,-1
72,Ses04M_impro06_F016,3.0,2.5,2.5,sad,Sadness,Sadness,Sadness,-1,3,2,3,3,3,2,-1,-1,-1
73,Ses04M_impro06_F017,2.5,2.0,1.5,sad,Sadness,Sadness,Sadness,-1,3,2,2,2,2,1,-1,-1,-1
74,Ses04M_impro06_F018,2.5,2.5,2.5,sad,Sadness,Neutral,Sadness,-1,2,3,3,3,2,2,-1,-1,-1
75,Ses04M_impro06_F019,3.5,2.5,3.0,sad,Sadness,Sadness,Other,-1,4,3,4,3,2,2,-1,-1,-1
76,Ses04M_impro06_M000,2.5,2.0,2.0,sad,Sadness,Sadness,Neutral,-1,3,2,3,2,2,1,-1,-1,-1
77,Ses04M_impro06_M001,2.0,2.5,3.0,sad,Sadness,Sadness,Sadness,-1,2,3,4,2,2,2,-1,-1,-1
78,Ses04M_impro06_M002,2.0,2.5,2.5,sad,Sadness,Sadness,Neutral,-1,2,3,4,2,2,1,-1,-1,-1
79,Ses04M_impro06_M003,2.5,1.5,1.5,sad,Sadness,Sadness,Sadness,-1,3,2,2,2,1,1,-1,-1,-1
80,Ses04M_impro06_M004,2.5,1.5,1.5,sad,Sadness,Sadness,Neutral,-1,3,2,2,2,1,1,-1,-1,-1
81,Ses04M_impro06_M005,2.0,2.0,2.5,sad,Sadness,Sadness,Sadness,-1,2,2,3,2,2,2,-1,-1,-1
82,Ses04M_impro06_M006,2.0,2.5,2.0,sad,Sadness,Sadness,Frustration,-1,2,3,3,2,2,1,-1,-1,-1
83,Ses04M_impro06_M007,2.5,2.0,2.5,sad,Sadness,Sadness,Frustration,-1,2,2,3,3,2,2,-1,-1,-1
84,Ses04M_impro06_M008,2.0,1.5,2.5,sad,Sadness,Sadness,Sadness,-1,2,2,4,2,1,1,-1,-1,-1
85,Ses04M_impro06_M009,3.0,2.0,2.0,sad,Sadness,Sadness,Neutral,-1,3,2,2,3,2,2,-1,-1,-1
86,Ses04M_impro06_M010,2.0,2.0,2.5,sad,Sadness,Sadness,Sadness,-1,2,2,3,2,2,2,-1,-1,-1
87,Ses04M_impro06_M011,1.5,2.0,2.0,sad,Sadness,Sadness,Sadness,-1,2,2,3,1,2,1,-1,-1,-1
88,Ses04M_impro06_M012,2.0,2.0,2.5,sad,Sadness,Sadness,Sadness,-1,2,2,3,2,2,2,-1,-1,-1
89,Ses04M_impro06_M013,2.0,2.0,3.0,sad,Sadness,Sadness,Sadness,-1,2,2,4,2,2,2,-1,-1,-1
90,Ses04M_impro06_M014,2.0,2.0,2.0,sad,Sadness,Sadness,Sadness,-1,2,2,3,2,2,1,-1,-1,-1
91,Ses04M_impro06_M015,2.0,2.0,2.0,sad,Sadness,Sadness,Sadness,-1,2,3,3,2,1,1,-1,-1,-1
92,Ses04M_impro06_M016,2.0,2.0,2.5,sad,Sadness,Sadness,Sadness,-1,2,2,3,2,2,2,-1,-1,-1
93,Ses04M_impro06_M017,2.5,2.0,1.5,sad,Sadness,Sadness,Sadness,-1,2,3,2,3,1,1,-1,-1,-1
94,Ses04M_impro06_M018,2.0,2.5,3.0,sad,Sadness,Sadness,Sadness,-1,2,3,4,2,2,2,-1,-1,-1
95,Ses04M_impro06_M019,2.5,3.0,3.0,sad,Sadness,Sadness,Sadness,-1,3,3,4,2,3,2,-1,-1,-1
96,Ses04M_impro06_M020,2.0,2.5,1.0,sad,Sadness,Sadness,Sadness,-1,2,3,1,2,2,1,-1,-1,-1
97,Ses04F_script03_2_F000,4.0,3.0,3.5,xxx,Excited,Happiness,Neutral,-1,4,3,3,4,3,4,-1,-1,-1
98,Ses04F_script03_2_F001,3.0,3.5,3.5,xxx,Excited,Surprise,Neutral,-1,4,3,3,2,4,4,-1,-1,-1
99,Ses04F_script03_2_F002,3.0,3.5,3.5,xxx,Excited,Happiness,Neutral,-1,4,3,3,2,4,4,-1,-1,-1
100,Ses04F_script03_2_F003,2.5,3.5,3.5,xxx,Excited,Happiness,Anger,-1,3,3,3,2,4,4,-1,-1,-1
101,Ses04F_script03_2_F004,3.5,3.5,3.5,xxx,Excited,Happiness,Neutral,-1,3,3,3,4,4,4,-1,-1,-1
102,Ses04F_script03_2_F005,2.0,3.0,4.0,ang,Happiness,Anger,Anger,-1,2,2,3,2,4,5,-1,-1,-1
103,Ses04F_script03_2_F006,4.0,3.5,3.5,xxx,Excited,Happiness,Neutral,-1,4,3,3,4,4,4,-1,-1,-1
104,Ses04F_script03_2_F007,2.5,3.0,4.0,xxx,Excited,Happiness,Anger,-1,3,2,3,2,4,5,-1,-1,-1
105,Ses04F_script03_2_F008,1.5,3.5,4.0,fru,Excited,Frustration,Anger,-1,2,3,3,1,4,5,-1,-1,-1
106,Ses04F_script03_2_F009,3.0,3.0,2.5,fru,Frustration,Neutral,Frustration,-1,3,2,2,3,4,3,-1,-1,-1
107,Ses04F_script03_2_F010,2.5,3.0,3.5,xxx,Frustration,Anger,Anger,-1,3,2,3,2,4,4,-1,-1,-1
108,Ses04F_script03_2_F011,2.0,3.0,4.5,xxx,Frustration,Anger,Anger,-1,2,2,4,2,4,5,-1,-1,-1
109,Ses04F_script03_2_F012,2.5,3.0,3.5,ang,Frustration,Anger,Anger,-1,3,3,3,2,3,4,-1,-1,-1
110,Ses04F_script03_2_F013,1.5,3.0,4.5,ang,Frustration,Anger,Anger,-1,2,2,4,1,4,5,-1,-1,-1
111,Ses04F_script03_2_F014,1.5,3.5,4.5,ang,Frustration,Anger,Anger,-1,2,3,4,1,4,5,-1,-1,-1
112,Ses04F_script03_2_F015,4.0,3.0,3.5,fru,Frustration,Anger,Frustration,-1,4,3,3,4,3,4,-1,-1,-1
113,Ses04F_script03_2_F016,2.0,3.5,3.5,fru,Frustration,Anger,Frustration,-1,3,3,3,1,4,4,-1,-1,-1
114,Ses04F_script03_2_F017,1.5,3.0,3.5,fru,Frustration,Anger,Frustration,-1,2,2,3,1,4,4,-1,-1,-1
115,Ses04F_script03_2_F018,1.5,3.5,4.0,xxx,Frustration,Anger,Anger,-1,2,3,4,1,4,4,-1,-1,-1
116,Ses04F_script03_2_F019,2.0,3.0,4.0,ang,Frustration,Anger,Anger,-1,3,2,3,1,4,5,-1,-1,-1
117,Ses04F_script03_2_F020,2.0,3.0,4.5,ang,Frustration,Anger,Anger,-1,2,3,4,2,3,5,-1,-1,-1
118,Ses04F_script03_2_F021,2.5,3.0,3.5,ang,Frustration,Anger,Anger,-1,3,2,2,2,4,5,-1,-1,-1
119,Ses04F_script03_2_F022,1.5,4.5,4.5,ang,Anger,Anger,Anger,-1,2,4,4,1,5,5,-1,-1,-1
120,Ses04F_script03_2_F023,4.0,3.5,4.0,ang,Frustration,Anger,Anger,-1,4,3,4,4,4,4,-1,-1,-1
121,Ses04F_script03_2_F024,3.0,2.5,3.5,ang,Frustration,Anger,Anger,-1,3,2,3,3,3,4,-1,-1,-1
122,Ses04F_script03_2_F025,1.5,3.5,4.5,ang,Frustration,Anger,Anger,-1,2,3,4,1,4,5,-1,-1,-1
123,Ses04F_script03_2_F026,3.0,3.0,3.5,ang,Frustration,Anger,Anger,-1,4,3,3,2,3,4,-1,-1,-1
124,Ses04F_script03_2_F027,1.5,4.0,4.0,ang,Frustration,Anger,Anger,-1,2,4,4,1,4,4,-1,-1,-1
125,Ses04F_script03_2_F028,2.5,3.0,3.5,ang,Frustration,Anger,Anger,-1,3,3,3,2,3,4,-1,-1,-1
126,Ses04F_script03_2_F029,2.5,3.5,4.5,ang,Frustration,Anger,Anger,-1,4,3,4,1,4,5,-1,-1,-1
127,Ses04F_script03_2_F030,2.5,2.5,3.0,ang,Frustration,Anger,Anger,-1,3,2,2,2,3,4,-1,-1,-1
128,Ses04F_script03_2_F031,3.5,4.0,3.0,ang,Frustration,Anger,Anger,-1,3,4,2,4,4,4,-1,-1,-1
129,Ses04F_script03_2_F032,4.0,3.0,3.5,xxx,Frustration,Anger,Sadness,-1,4,2,3,4,4,4,-1,-1,-1
130,Ses04F_script03_2_F033,2.0,3.0,3.5,xxx,Frustration,Anger,Sadness,-1,2,3,3,2,3,4,-1,-1,-1
131,Ses04F_script03_2_F034,1.5,4.5,4.5,ang,Frustration,Anger,Anger,-1,2,4,4,1,5,5,-1,-1,-1
132,Ses04F_script03_2_F035,2.0,4.0,4.5,ang,Frustration,Anger,Anger,-1,3,3,4,1,5,5,-1,-1,-1
133,Ses04F_script03_2_F036,1.5,4.0,4.0,ang,Frustration,Anger,Anger,-1,2,3,3,1,5,5,-1,-1,-1
134,Ses04F_script03_2_F037,1.5,4.5,4.5,ang,Anger,Anger,Anger,-1,2,4,4,1,5,5,-1,-1,-1
135,Ses04F_script03_2_F038,2.0,4.0,3.5,ang,Anger,Anger,Anger,-1,2,3,2,2,5,5,-1,-1,-1
136,Ses04F_script03_2_F039,1.0,4.5,5.0,ang,Anger,Anger,Anger,-1,1,4,5,1,5,5,-1,-1,-1
137,Ses04F_script03_2_F040,1.5,4.5,4.5,ang,Anger,Anger,Anger,-1,2,4,4,1,5,5,-1,-1,-1
138,Ses04F_script03_2_F041,1.5,4.5,4.5,ang,Anger,Anger,Anger,-1,2,4,4,1,5,5,-1,-1,-1
139,Ses04F_script03_2_F042,1.0,4.0,4.5,ang,Anger,Anger,Anger,-1,1,3,4,1,5,5,-1,-1,-1
140,Ses04F_script03_2_F043,1.0,5.0,5.0,ang,Anger,Anger,Anger,-1,1,5,5,1,5,5,-1,-1,-1
141,Ses04F_script03_2_F044,1.0,5.0,5.0,ang,Anger,Anger,Anger,-1,1,5,5,1,5,5,-1,-1,-1
142,Ses04F_script03_2_M000,3.0,3.0,3.5,neu,Anger,Neutral,Neutral,-1,3,3,3,3,3,4,-1,-1,-1
143,Ses04F_script03_2_M001,2.5,3.0,4.0,ang,Frustration,Anger,Anger,-1,3,2,4,2,4,4,-1,-1,-1
144,Ses04F_script03_2_M002,2.5,3.0,4.0,xxx,Frustration,Disgust,Anger,-1,3,3,3,2,3,5,-1,-1,-1
145,Ses04F_script03_2_M003,1.5,3.0,4.5,ang,Frustration,Anger,Anger,-1,2,3,4,1,3,5,-1,-1,-1
146,Ses04F_script03_2_M004,2.5,2.5,3.0,xxx,Frustration,Anger,Neutral,-1,3,2,3,2,3,3,-1,-1,-1
147,Ses04F_script03_2_M005,2.0,3.5,4.5,ang,Anger,Anger,Anger,-1,2,3,4,2,4,5,-1,-1,-1
148,Ses04F_script03_2_M006,1.5,4.0,4.5,ang,Anger,Anger,Anger,-1,2,3,4,1,5,5,-1,-1,-1
149,Ses04F_script03_2_M007,1.5,3.5,4.5,ang,Anger,Anger,Anger,-1,2,2,4,1,5,5,-1,-1,-1
150,Ses04F_script03_2_M008,2.0,3.0,3.5,ang,Frustration,Anger,Anger,-1,3,3,3,1,3,4,-1,-1,-1
151,Ses04F_script03_2_M009,2.5,2.5,3.0,xxx,Frustration,Anger,Neutral,-1,3,2,2,2,3,4,-1,-1,-1
152,Ses04F_script03_2_M010,3.0,3.0,2.5,neu,Frustration,Neutral,Neutral,-1,3,3,2,3,3,3,-1,-1,-1
153,Ses04F_script03_2_M011,2.5,2.5,3.5,xxx,Frustration,Anger,Neutral,-1,3,2,3,2,3,4,-1,-1,-1
154,Ses04F_script03_2_M012,2.0,3.0,4.0,fru,Frustration,Frustration,Neutral,-1,2,3,4,2,3,4,-1,-1,-1
155,Ses04F_script03_2_M013,2.0,3.0,3.5,xxx,Frustration,Anger,Anger,-1,2,3,3,2,3,4,-1,-1,-1
156,Ses04F_script03_2_M014,2.0,2.5,4.0,ang,Frustration,Anger,Anger,-1,2,2,4,2,3,4,-1,-1,-1
157,Ses04F_script03_2_M015,1.5,3.0,4.0,ang,Anger,Anger,Anger,-1,2,2,3,1,4,5,-1,-1,-1
158,Ses04F_script03_2_M016,3.0,2.5,3.0,ang,Anger,Anger,Neutral,-1,3,2,2,3,3,4,-1,-1,-1
159,Ses04F_script03_2_M017,2.0,2.5,4.0,xxx,Frustration,Anger,Neutral,-1,3,3,3,1,2,5,-1,-1,-1
160,Ses04F_script03_2_M018,3.0,3.0,3.0,xxx,Frustration,Anger,Neutral,-1,3,3,2,3,3,4,-1,-1,-1
161,Ses04F_script03_2_M019,3.0,2.5,3.0,xxx,Frustration,Anger,Neutral,-1,3,2,2,3,3,4,-1,-1,-1
162,Ses04F_script03_2_M020,2.5,3.0,3.5,xxx,Frustration,Anger,Neutral,-1,3,3,4,2,3,3,-1,-1,-1
163,Ses04F_script03_2_M021,2.5,3.0,3.5,fru,Frustration,Anger,Frustration,-1,3,2,3,2,4,4,-1,-1,-1
164,Ses04F_script03_2_M022,2.0,2.5,3.5,xxx,Excited,Anger,Frustration,-1,2,2,3,2,3,4,-1,-1,-1
165,Ses04F_script03_2_M023,2.5,2.5,3.0,xxx,Excited,Anger,Frustration,-1,3,2,2,2,3,4,-1,-1,-1
166,Ses04F_script03_2_M024,2.5,3.0,3.5,neu,Frustration,Neutral,Neutral,-1,3,3,3,2,3,4,-1,-1,-1
167,Ses04F_script03_2_M025,2.5,3.0,3.5,xxx,Frustration,Anger,Neutral,-1,3,3,3,2,3,4,-1,-1,-1
168,Ses04F_script03_2_M026,2.5,2.5,4.0,xxx,Frustration,Anger,Neutral,-1,3,3,4,2,2,4,-1,-1,-1
169,Ses04F_script03_2_M027,1.5,3.0,4.5,ang,Frustration,Anger,Anger,-1,2,3,4,1,3,5,-1,-1,-1
170,Ses04F_script03_2_M028,2.5,3.0,4.5,fru,Frustration,Frustration,Anger,-1,3,3,4,2,3,5,-1,-1,-1
171,Ses04F_script03_2_M029,2.0,4.0,3.5,xxx,Frustration,Anger,Neutral,-1,2,4,3,2,4,4,-1,-1,-1
172,Ses04F_script03_2_M030,2.5,3.5,3.5,xxx,Frustration,Anger,Neutral,-1,3,3,3,2,4,4,-1,-1,-1
173,Ses04F_script03_2_M031,1.5,3.0,4.5,ang,Frustration,Anger,Anger,-1,2,2,4,1,4,5,-1,-1,-1
174,Ses04F_script03_2_M032,2.5,3.0,3.0,xxx,Frustration,Anger,Neutral,-1,3,3,2,2,3,4,-1,-1,-1
175,Ses04F_script03_2_M033,2.5,3.0,3.5,xxx,Frustration,Anger,Neutral,-1,3,2,3,2,4,4,-1,-1,-1
176,Ses04F_script03_2_M034,2.5,3.0,3.0,ang,Frustration,Anger,Anger,-1,3,3,2,2,3,4,-1,-1,-1
177,Ses04F_script03_2_M035,2.5,3.0,3.5,ang,Frustration,Anger,Anger,-1,3,2,3,2,4,4,-1,-1,-1
178,Ses04F_script03_2_M036,2.5,3.0,3.5,xxx,Frustration,Anger,Neutral,-1,3,3,3,2,3,4,-1,-1,-1
179,Ses04F_script03_2_M037,2.0,3.5,4.5,ang,Frustration,Anger,Anger,-1,3,3,4,1,4,5,-1,-1,-1
180,Ses04F_script03_2_M038,1.5,4.0,4.5,xxx,Frustration,Anger,Neutral,-1,2,3,4,1,5,5,-1,-1,-1
181,Ses04F_script03_2_M039,2.5,3.0,4.0,ang,Frustration,Anger,Anger,-1,3,2,3,2,4,5,-1,-1,-1
182,Ses04F_script03_2_M040,2.0,2.5,4.0,ang,Frustration,Anger,Anger,-1,3,2,3,1,3,5,-1,-1,-1
183,Ses04F_script03_2_M041,2.0,3.5,4.0,ang,Frustration,Anger,Anger,-1,2,3,4,2,4,4,-1,-1,-1
184,Ses04F_script03_2_M042,1.5,3.0,4.0,ang,Frustration,Anger,Anger,-1,2,3,3,1,3,5,-1,-1,-1
185,Ses04F_script03_2_M043,2.0,3.5,4.0,ang,Anger,Anger,Anger,-1,3,3,3,1,4,5,-1,-1,-1
186,Ses04F_script03_2_M044,2.0,4.0,4.5,ang,Frustration,Anger,Anger,-1,3,3,4,1,5,5,-1,-1,-1
187,Ses04F_script03_2_M045,1.5,3.5,4.5,ang,Frustration,Anger,Anger,-1,2,3,4,1,4,5,-1,-1,-1
188,Ses04M_script01_2_F000,2.3333,2.3333,3.3333,ang,Anger,Anger,Anger,-1,3,2,4,2,2,3,-1,-1,-1
189,Ses04M_script01_2_F001,3.0,2.0,2.0,neu,Anger,Neutral,Neutral,-1,3,2,2,3,2,2,-1,-1,-1
190,Ses04M_script01_2_F002,2.6667,3.0,3.6667,ang,Anger,Anger,Anger,-1,3,2,4,3,4,4,-1,-1,-1
191,Ses04M_script01_2_F003,2.3333,3.0,3.6667,ang,Anger,Anger,Anger,-1,3,3,4,2,3,4,-1,-1,-1
192,Ses04M_script01_2_F004,2.6667,2.6667,3.0,ang,Anger,Anger,Anger,-1,3,3,3,2,3,4,-1,-1,-1
193,Ses04M_script01_2_F005,2.0,2.6667,3.3333,ang,Anger,Anger,Anger,-1,2,2,3,2,3,4,-1,-1,-1
194,Ses04M_script01_2_F006,2.3333,3.0,3.3333,ang,Anger,Anger,Anger,-1,2,3,4,3,4,4,-1,-1,-1
195,Ses04M_script01_2_F007,3.0,1.6667,2.0,neu,Anger,Neutral,Neutral,-1,3,2,2,3,1,2,-1,-1,-1
196,Ses04M_script01_2_F008,2.3333,3.0,3.6667,ang,Anger,Anger,Anger,-1,3,2,4,2,4,4,-1,-1,-1
197,Ses04M_script01_2_F009,2.0,3.0,3.6667,ang,Anger,Anger,Frustration,-1,3,3,4,1,3,4,-1,-1,-1
198,Ses04M_script01_2_F010,2.6667,3.3333,3.6667,ang,Anger,Anger,Anger,-1,3,3,3,3,4,5,-1,-1,-1
